id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
54201807,(2021 SY3),27.0,0.0105816886,0.023661375,False,2026-03-01,7.942208659,42068520.604265188,2026-02-28T19:06:11.552664
54603882,(2026 DS5),26.353,0.0142545981,0.0318742503,False,2026-03-01,17.5720726315,2293305.951118545,2026-02-28T19:06:11.552666
54604286,(2026 DM10),25.94,0.0172407032,0.0385513844,False,2026-03-01,17.6968749331,4125851.614540689,2026-02-28T19:06:11.552668
54604369,(2026 DR11),28.114,0.0063351219,0.0141657632,False,2026-03-01,5.2740198573,522081.30731726,2026-02-28T19:06:11.552670
3558388,(2011 EH17),24.82,0.0288771931,0.0645713667,False,2026-03-02,16.4520865042,6069264.349178555,2026-02-28T19:06:11.552671
3561772,(2011 GW9),28.1,0.0063760979,0.0142573883,False,2026-03-02,7.3624437968,70655890.790410413,2026-02-28T19:06:11.552673
3611402,(2012 TR231),23.9,0.04411182,0.0986370281,False,2026-03-02,23.5712081675,71455383.874611457,2026-02-28T19:06:11.552675
3843098,(2019 MT3),22.93,0.0689532874,0.154184238,False,2026-03-02,8.6024035976,31947909.899967347,2026-02-28T19:06:11.552676
54087420,(2020 VL),25.12,0.0251509837,0.0562393094,False,2026-03-02,8.5266316771,30213086.771235079,2026-02-28T19:06:11.552678
54246382,(2022 CW4),23.36,0.0565659358,0.1264852778,False,2026-03-02,23.6733838753,69878913.57690456,2026-02-28T19:06:11.552680
54248340,(2022 DJ1),27.57,0.0081386988,0.0181986838,False,2026-03-02,18.3677732786,68124634.736546034,2026-02-28T19:06:11.552683
54353620,(2023 FW13),26.03,0.0165407416,0.0369862226,False,2026-03-02,3.3314096417,10763198.58614193,2026-02-28T19:06:11.552685
54571238,(2025 YK9),18.945,0.4320708593,0.9661398124,False,2026-03-02,14.813002218,12230961.886197609,2026-02-28T19:06:11.552687
54603967,(2026 DX6),28.434,0.0054670743,0.0122247498,False,2026-03-02,6.7182574349,768547.927043472,2026-02-28T19:06:11.552690
54604136,(2026 DT8),27.158,0.009839091,0.0220008763,False,2026-03-02,5.2161038767,4695250.713179162,2026-02-28T19:06:11.552692
