nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
2376879,376879 (2001 WW1),22.35,0.0900647767,0.2013909631,False,2026-04-24,11.4853884157,49916526.770534232,2026-04-24T00:56:54.689865+00:00
3182189,(2004 KB),21.19,0.1536579294,0.3435895754,True,2026-04-24,12.1332064187,27046659.149931861,2026-04-24T00:56:54.689870+00:00
3409988,(2008 JN),20.68,0.1943367684,0.4345502246,False,2026-04-24,41.9776514696,65080939.721035032,2026-04-24T00:56:54.689874+00:00
3797674,(2018 AB12),24.4,0.0350392641,0.0783501764,False,2026-04-24,6.2593696556,57645144.621314484,2026-04-24T00:56:54.689877+00:00
3827322,(2018 RF2),28.2,0.0060891262,0.0136157002,False,2026-04-24,20.8402631661,54121832.865628469,2026-04-24T00:56:54.689881+00:00
54049794,(2020 OY4),30.35,0.0022623249,0.0050587123,False,2026-04-24,9.327302738,55842119.778769855,2026-04-24T00:56:54.689883+00:00
54279841,(2022 KS),26.76,0.0118182991,0.0264265201,False,2026-04-24,4.8331120439,10724233.651731315,2026-04-24T00:56:54.689886+00:00
54402649,(2023 VJ2),25.63,0.0198863453,0.04446722,False,2026-04-24,19.0568970711,70355265.298687462,2026-04-24T00:56:54.689889+00:00
54465474,(2024 PY),29.43,0.0034558507,0.0077275172,False,2026-04-24,15.0426495306,36063870.103343636,2026-04-24T00:56:54.689892+00:00
54607948,(2026 HZ1),26.578,0.0128515342,0.0287369041,False,2026-04-24,7.1040465432,5348673.579792889,2026-04-24T00:56:54.689895+00:00
3717050,(2015 HQ10),23.4,0.0555334912,0.1241766613,False,2026-04-25,32.9237215246,37552338.661154322,2026-04-24T00:56:54.689901+00:00
3797689,(2018 AG12),23.7,0.0483676488,0.1081533507,False,2026-04-25,9.3622374326,41425236.927767942,2026-04-24T00:56:54.689904+00:00
54016725,(2020 HE5),27.7,0.0076657557,0.0171411509,False,2026-04-25,13.1967182957,55451241.607839951,2026-04-24T00:56:54.689909+00:00
54017037,(2020 JE2),27.71,0.0076305348,0.0170623945,False,2026-04-25,28.0703887731,72149720.546927437,2026-04-24T00:56:54.689913+00:00
54076932,(2020 UU5),27.3,0.0092162655,0.0206081961,False,2026-04-25,8.8998272091,36381052.892840956,2026-04-24T00:56:54.689917+00:00
54276985,(2022 HR3),27.34,0.0090480497,0.0202320542,False,2026-04-25,15.1602923265,30050508.907406446,2026-04-24T00:56:54.689920+00:00
54291044,(2022 OX),22.58,0.0810130488,0.1811506842,False,2026-04-25,11.8555556177,73155167.995755094,2026-04-24T00:56:54.689923+00:00
54320182,(2022 UU8),27.97,0.0067694748,0.0151370059,False,2026-04-25,4.0416434196,3343117.486042774,2026-04-24T00:56:54.689931+00:00
54393149,(2023 TV9),24.75,0.0298232505,0.0666868155,False,2026-04-25,8.3552430213,17978105.19027057,2026-04-24T00:56:54.689934+00:00
54607729,(2026 HC),24.991,0.0266903935,0.0596815342,False,2026-04-25,11.6367942533,9902561.59123832,2026-04-24T00:56:54.689937+00:00
